NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Mode/Type of Service Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name, UZA SQ Miles , UZA Population , Service Area Population , Service Area SQ Miles ,Last Closed Report Year,Last Closed FY End Month,Last Closed FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
00001,0001,King County,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"6,470,644","888,663",7,"$816,892.00 ","$72,095,003.00 ",$81.13 ,$0.92 
00001,0001,King County,DR,TX,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"1,509,526","121,496",12,"$105,605.00 ","$5,658,724.00 ",$46.58 ,$0.87 
00001,0001,King County,FB,DO,Ferry,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"1,479,694","399,687",4,"$1,493,280.00 ","$8,625,721.00 ",$21.58 ,$3.74 
00001,0001,King County,LR,DO,Rail,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2011,12,2011,"471,587","520,933",1,"$288,470.00 ","$2,281,393.00 ",$4.38 ,$0.55 
00001,0001,King County,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"244,710,079","63,485,248",4,"$60,386,305.00 ","$710,359,423.00 ",$11.19 ,$0.95 
00001,0001,King County,MB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"2,376,398","623,887",4,"$341,551.00 ","$15,507,155.00 ",$24.86 ,$0.55 
00001,0001,King County,SR,DO,Rail,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"1,556,379","1,411,817",1,"$617,795.00 ","$13,964,269.00 ",$9.89 ,$0.44 
00001,0001,King County,TB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"20,078,748","10,851,566",2,"$10,323,654.00 ","$92,304,429.00 ",$8.51 ,$0.95 
00001,0001,King County,VP,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,80389,"Seattle--Tacoma, WA", 982.52 ," 3,544,011 "," 2,347,800 "," 2,134 ",2023,12,2023,"23,349,034","1,104,484",21,"$6,664,059.00 ","$10,179,899.00 ",$9.22 ,$6.03 
00002,0002,Spokane Transit Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,83764,"Spokane, WA", 171.67 ," 447,279 "," 471,169 ", 248 ,2023,12,2023,"1,632,916","195,972",8,"$426,672.00 ","$13,959,791.00 ",$71.23 ,$2.18 
